Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
PTSD_AEI_Beta_PSD,0.6,0.6818181818181818,0.6666666666666666,0.3181818181818182,0.6666666666666666,0.20454545454545453,0.6,0.45454545454545453,0.7333333333333333,0.8181818181818182
PTSD_AEI_Beta_PSDPCA,0.8666666666666667,0.9090909090909091,0.8666666666666667,0.9545454545454546,0.8,0.9431818181818181,0.8666666666666667,0.9090909090909091,0.8666666666666667,0.9545454545454545
PTSD_AEI_HighBeta_PSD,0.6,0.3181818181818182,0.4666666666666667,0.13636363636363635,0.7333333333333333,0.6363636363636364,0.6666666666666666,0.5,0.7333333333333333,0.6931818181818181
PTSD_AEI_HighBeta_PSDPCA,0.9333333333333333,0.9318181818181819,0.8666666666666667,0.875,0.8666666666666667,1.0,0.9333333333333333,0.9090909090909091,0.9333333333333333,0.9318181818181818
PTSD_AEI_Gamma_PSD,0.7333333333333333,0.36363636363636365,0.6666666666666666,0.36363636363636365,0.5333333333333333,0.4090909090909091,0.6666666666666666,0.5909090909090909,0.8,0.6022727272727273
PTSD_AEI_Gamma_PSDPCA,0.9333333333333333,0.8636363636363636,0.8666666666666667,0.8977272727272727,0.9333333333333333,0.909090909090909,0.9333333333333333,0.8636363636363636,0.8666666666666667,0.7954545454545454
PTSD_AEI_All_PSD,0.4,0.5227272727272727,0.6,0.25,0.7333333333333333,0.43181818181818177,0.4666666666666667,0.36363636363636365,0.8,0.5568181818181819
PTSD_AEI_All_PSDPCA,0.8666666666666667,0.9318181818181818,0.6666666666666666,0.4545454545454546,0.7333333333333333,0.7727272727272728,0.8666666666666667,0.9090909090909091,0.8666666666666667,0.8181818181818181
Social_AEI_Delta_PSD,0.26666666666666666,0.4285714285714286,0.6,0.5714285714285714,0.6666666666666666,0.6696428571428572,0.26666666666666666,0.2857142857142857,0.5333333333333333,0.48214285714285715
Social_AEI_Delta_PSDPCA,0.7333333333333333,0.7678571428571428,0.7333333333333333,0.6160714285714286,0.6666666666666666,0.75,0.6,0.7678571428571428,0.6666666666666666,0.6607142857142857
Social_AEI_Theta_PSD,0.5333333333333333,0.39285714285714285,0.4666666666666667,0.625,0.4666666666666667,0.5357142857142857,0.4666666666666667,0.5892857142857142,0.5333333333333333,0.26785714285714285
Social_AEI_Theta_PSDPCA,0.8,0.8214285714285714,0.6,0.7232142857142857,0.6,0.8035714285714286,0.7333333333333333,0.8214285714285714,0.7333333333333333,0.8928571428571428
Social_AEI_Alpha_PSD,0.5333333333333333,0.6964285714285714,0.5333333333333333,0.7321428571428572,0.5333333333333333,0.5089285714285714,0.4,0.375,0.5333333333333333,0.875
Social_AEI_Alpha_PSDPCA,0.6,0.6785714285714286,0.6,0.5357142857142857,0.6666666666666666,0.6160714285714286,0.6,0.6785714285714286,0.7333333333333333,0.7232142857142858
Social_AEI_Beta_PSD,0.4,0.3571428571428571,0.5333333333333333,0.6071428571428572,0.6,0.5357142857142856,0.4,0.5714285714285714,0.6,0.7142857142857143
Social_AEI_Beta_PSDPCA,0.5333333333333333,0.6785714285714285,0.7333333333333333,0.6428571428571429,0.6,0.6964285714285714,0.6,0.6428571428571428,0.6,0.6875
Social_AEI_HighBeta_PSD,0.6666666666666666,0.30357142857142855,0.4,0.3214285714285714,0.6,0.42857142857142855,0.6666666666666666,0.8214285714285714,0.6,0.5267857142857142
Social_AEI_HighBeta_PSDPCA,0.5333333333333333,0.6428571428571428,0.6,0.6696428571428571,0.5333333333333333,0.625,0.6,0.625,0.6666666666666666,0.6875
Social_AEI_Gamma_PSD,0.6,0.4642857142857143,0.5333333333333333,0.5446428571428571,0.3333333333333333,0.41964285714285715,0.6,0.6071428571428571,0.5333333333333333,0.42857142857142855
Social_AEI_Gamma_PSDPCA,0.5333333333333333,0.625,0.6,0.6964285714285714,0.6666666666666666,0.7767857142857143,0.5333333333333333,0.6428571428571428,0.8,0.8392857142857143
Social_AEI_All_PSD,0.4666666666666667,0.5892857142857143,0.6,0.5089285714285714,0.5333333333333333,0.375,0.4666666666666667,0.5714285714285714,0.5333333333333333,0.375
Social_AEI_All_PSDPCA,0.7333333333333333,0.7321428571428571,0.6666666666666666,0.6160714285714286,0.6,0.7053571428571429,0.6666666666666666,0.75,0.6666666666666666,0.6785714285714286
Acute_AEI_Delta_FC,0.38461538461538464,0.05,0.6153846153846154,0.6375,0.6153846153846154,0.6,0.46153846153846156,0.05,0.6153846153846154,0.5
Acute_AEI_Delta_FCPCA,0.5384615384615384,0.675,0.6153846153846154,0.5375000000000001,0.6153846153846154,0.3375,0.46153846153846156,0.625,0.6153846153846154,0.42500000000000004
Acute_AEI_Theta_FC,0.38461538461538464,0.675,0.6153846153846154,0.1625,0.6153846153846154,0.3,0.46153846153846156,0.3,0.6153846153846154,0.7250000000000001
Acute_AEI_Theta_FCPCA,0.6923076923076923,0.6,0.6153846153846154,0.7500000000000001,0.6153846153846154,0.625,0.6923076923076923,0.7,0.6153846153846154,0.36250000000000004
Acute_AEI_Alpha_FC,0.6153846153846154,0.6000000000000001,0.6153846153846154,0.37500000000000006,0.46153846153846156,0.15,0.5384615384615384,0.475,0.6153846153846154,0.45
Acute_AEI_Alpha_FCPCA,0.6153846153846154,0.625,0.6153846153846154,0.7250000000000001,0.6153846153846154,0.725,0.6923076923076923,0.6,0.6153846153846154,0.7375
Acute_AEI_Beta_FC,0.6153846153846154,0.65,0.6153846153846154,0.1125,0.6153846153846154,0.3,0.5384615384615384,0.55,0.6153846153846154,0.43750000000000006
Acute_AEI_Beta_FCPCA,0.6923076923076923,0.7,0.8461538461538461,0.8,0.6153846153846154,0.6375000000000001,0.6153846153846154,0.75,0.6153846153846154,0.525
Acute_AEI_HighBeta_FC,0.46153846153846156,0.8,0.6923076923076923,0.44999999999999996,0.6153846153846154,0.3875,0.46153846153846156,0.175,0.6153846153846154,0.2875
Acute_AEI_HighBeta_FCPCA,0.8461538461538461,0.975,0.7692307692307693,0.6375,0.6923076923076923,0.575,0.7692307692307693,0.9,0.6923076923076923,0.575
